Name,University,Year
Gundy Richard F.,Rutgers The State University of New Jersey New Brunswick,2013
Gunning Robert C.,Princeton University,2013
Guo Yan,Brown University,2017
Guralnick Robert M.,University of Southern California,2013
Gursky Matthew J.,University of Notre Dame,2015
Guth Larry,Massachusetts Institute of Technology,2019
Gutierrez Cristian E.,Temple University,2018
Hacon Christopher D.,University of Utah,2013
Haglund James,University of Pennsylvania,2013
Haiman Mark,University of California - Berkeley,2013
Hain Richard M.,Duke University,2013
Hairer Martin,University of Warwick,2016
Hajlasz Piotr,University of Pittsburgh,2017
Hajnal András*,Alfréd Rényi Institute of Mathematics - Hungarian Academy of Sciences,2013
Halberstam Heini*,University of Illinois - Urbana-Champaign,2013
Hales Alfred W.,Center for Communications Research - La Jolla and University of California - Los Angeles,2013
Hales Thomas C.,University of Pittsburgh,2013
Hall Jonathan I.,Michigan State University,2013
Hamenstädt Ursula,Rheinische Friedrich-Wilhelms-Universität Bonn,2013
Handel Michael,The City University of New York - The Graduate Center and  Lehman College,2014
Hansen Vagn Lundsgaard,Technical University of Denmark,2013
Harbater David,University of Pennsylvania,2013
Harbourne Brian,University of Nebraska-Lincoln,2022
Hardt Robert M.,Rice University,2015
Harris Michael,Columbia University,2019
Harris Pamela E.,Williams College,2022
Hartmanis Juris,Cornell University,2013
Hartshorne Robin,University of California - Berkeley,2013
Harvey Shelly,Rice University,2013
Hass Joel,University of California - Davis,2013
Hasselblatt Boris,Tufts University,2021
Hassett Brendan,Brown University,2014
Håstad Johan,KTH Royal Institute of Technology,2013
Hauenstein Jonathan D.,University of Notre Dame,2022
Hawkins Jane M.,University of North Carolina at Chapel Hill,2013
Hawkins Thomas,Boston University,2013
Heath-Brown D.R.,Mathematical Institute - Oxford University,2013
Heins Maurice H.*,University of Maryland,2013
Heitmann Raymond C.,University of Texas at Austin,2013
Hejhal Dennis,University of Minnesota-Twin Cities,2013
Helfgott Harald Andrés,Mathematics Institute - Georg-August University Göttingen and CNRS,2019
